		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    1    0    0    1    1    3    2    1  8.647577 0.372892 SUCCESS  76
100101000    2    7    2    0    0    4    3    1 16.055131 0.041598 SUCCESS  77
100110000    1    1    1    4    2    2    2    0  6.357126 0.607295 SUCCESS  78
100111000    2    2    5    1    3    0    2    0  9.024905 0.340199 SUCCESS  79
101000000    2    0    1    0    2    0    2    1  9.432023 0.307171 SUCCESS  80
101000100    4    2    2    2    0    0    3    2  6.482903 0.593305 SUCCESS  81
101001000    1    0    0    0    2    3    1    3  9.557799 0.297443 SUCCESS  82
101001100    2    2    3    3    3    2    2    0  3.219342 0.919848 SUCCESS  83
101010000    0    2    2    2    2    4    3    1  4.851122 0.773363 SUCCESS  84
101010100    1    1    4    3    1    1    0    0  9.620687 0.292664 SUCCESS  85
101011000    3    1    1    4    0    3    0    4  9.087793 0.334944 SUCCESS  86
101011100    2    2    2    2    2    2    5    5  6.075785 0.638743 SUCCESS  87
101100000    2    1    1    3    2    2    0    3  4.725346 0.786488 SUCCESS  88
101100100    1    1    5    4    1    2    4    1  8.429123 0.392713 SUCCESS  89
101101000    2    2    2    2    4    2    1    1  3.156454 0.924159 SUCCESS  90
101101100    1    3    0    1    3    3    1    1  6.357126 0.607295 SUCCESS  91
101110000    2    3    1    0    0    4    6    2 12.602906 0.126262 SUCCESS  92
101110100    3    0    1    1    2    1    2    3  5.509792 0.701955 SUCCESS  93
101111000    2    2    4    0    0    0    0    1 12.036913 0.149564 SUCCESS  94
101111100    0    3    4    2    2    2    0    1  7.267349 0.508082 SUCCESS  95
110000000    1    1    1    3    2    3    2    2  3.093566 0.928349 SUCCESS  96
110000010    3    2    4    1    2    5    5    2  7.896229 0.443672 SUCCESS  97
110000100    2    4    0    2    2    3    3    5  6.860231 0.551785 SUCCESS  98
110001000    3    5    3    1    2    1    1    0  8.240459 0.410341 SUCCESS  99
110001010    2    4    0    1    1    3    1    2  6.420015 0.600293 SUCCESS 100
110010000    2    0    0    1    3    4    1    0 10.468021 0.233700 SUCCESS 101
110010010    3    2    4    3    4    3    0    4  6.138673 0.631702 SUCCESS 102
110010100    3    2    3    2    4    3    4    2  2.749337 0.949090 SUCCESS 103
110011000    2    2    2    2    2    5    3    4  4.381117 0.821206 SUCCESS 104
110011010    3    2    4    4    2    3    1    2  3.470895 0.901437 SUCCESS 105
110100000    3    1    0    3    3    3    1    1  5.635568 0.687978 SUCCESS 106
110100010    3    2    2    4    0    0    2    1  7.267349 0.508082 SUCCESS 107
110100100    2    0    1    2    1    3    1    1  6.231350 0.621335 SUCCESS 108
110101000    2    3    0    3    4    3    5    1  7.707565 0.462545 SUCCESS 109
110101010    1    0    4    3    3    1    0    1  8.899129 0.350877 SUCCESS 110
110101100    3    0    2    4    3    1    1    3  5.761345 0.673945 SUCCESS 111
110110000    0    4    2    5    0    1    0    4 13.324464 0.101163 SUCCESS 112
110110010    0    0    3    4    2    2    3    1  7.330237 0.501457 SUCCESS 113
110110100    1    1    2    2    3    1    4    2  4.003788 0.856782 SUCCESS 114
110111000    2    1    0    0    0    3    3    3  8.836241 0.356298 SUCCESS 115
110111010    3    0    2    2    1    1    1    4  6.420015 0.600293 SUCCESS 116
110111100    1    1    4    2    1    3    1    1  5.572680 0.694975 SUCCESS 117
111000000    0    4    2    2    3    2    1    2  4.851122 0.773363 SUCCESS 118
111000010    2    4    1    1    2    5    3    2  5.950009 0.652832 SUCCESS 119
111000100    2    4    2    1    2    0    2    2  4.788234 0.779952 SUCCESS 120
111000110    3    4    6    2    3    2    2    4  8.022006 0.431323 SUCCESS 121
111001000    3    0    2    1    3    3    3    1  4.851122 0.773363 SUCCESS 122
111001010    1    3    3    2    2    3    2    3  1.650450 0.989919 SUCCESS 123
111001100    3    1    2    0    3    4    3    3  5.039787 0.753315 SUCCESS 124
111010000    1    3    4    4    2    1    4    4  6.138673 0.631702 SUCCESS 125
111010010    3    1    1    1    1    3    2    2  3.878012 0.867958 SUCCESS 126
111010100    4    2    0    2    4    4    2    0  8.366235 0.398537 SUCCESS 127
111010110    1    1    2    4    2    0    0    2  7.988907 0.434555 SUCCESS 128
111011000    1    4    1    4    0    3    0    2  9.024905 0.340199 SUCCESS 129
111011010    3    1    3    1    3    0    4    2  5.761345 0.673945 SUCCESS 130
111011100    4    1    0    0    0    1    3    3 10.530909 0.229720 SUCCESS 131
111100000    1    3    3    1    3    1    1    1  4.725346 0.786488 SUCCESS 132
111100010    1    3    1    1    1    0    1    1  7.800242 0.453223 SUCCESS 133
111100100    1    2    3    3    3    4    3    4  3.596671 0.891559 SUCCESS 134
111100110    0    1    4    2    3    3    2    2  4.914011 0.766726 SUCCESS 135
111101000    3    1    2    4    0    1    3    0  8.114683 0.422349 SUCCESS 136
111101010    4    2    1    3    2    3    2    0  4.914011 0.766726 SUCCESS 137
