		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100101000    0    0    0    1    0    0    1    0 16.680701 0.033611 SUCCESS  77
100110000    0    0    0    0    1    0    1    0 16.680701 0.033611 SUCCESS  78
100111000    1    0    0    0    0    0    1    0 16.680701 0.033611 SUCCESS  79
101000000    0    0    0    0    0    1    0    0 18.312482 0.019002 SUCCESS  80
101000100    0    1    0    0    1    0    0    0 16.680701 0.033611 SUCCESS  81
101001000    2    0    0    0    1    0    0    1 14.264475 0.075127 SUCCESS  82
101001100    2    2    3    0    1    1    1    3  5.509792 0.701955 SUCCESS  83
101010000    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS  84
101010100    2    3    0    2    0    1    1    2  7.078684 0.528168 SUCCESS  85
101011000    1    0    0    2    1    0    1    1 11.000915 0.201647 SUCCESS  86
101011100    0    1    0    1    0    1    3    2 10.279357 0.245964 SUCCESS  87
101100000    1    0    1    1    0    0    0    1 13.417141 0.098280 SUCCESS  88
101100100    2    0    1    2    0    1    2    0  9.432023 0.307171 SUCCESS  89
101101000    0    2    0    0    0    0    0    3 15.174697 0.055836 SUCCESS  90
101101100    1    3    2    3    3    1    1    2  3.156454 0.924159 SUCCESS  91
101110000    0    0    0    1    1    3    0    2 11.911137 0.155213 SUCCESS  92
101110100    1    1    1    3    1    2    2    1  4.599570 0.799391 SUCCESS  93
101111000    3    2    4    1    2    1    1    3  4.066676 0.851058 SUCCESS  94
101111100    4    8    4    3    7    7    3    2 33.349353 0.000053 FAILURE  95
110000000    0    0    1    0    0    0    0    0 18.312482 0.019002 SUCCESS  96
110000010    0    0    1    0    0    0    1    0 16.680701 0.033611 SUCCESS  97
110000100    0    0    0    1    0    0    0    0 18.312482 0.019002 SUCCESS  98
110001000    0    0    0    0    1    0    1    0 16.680701 0.033611 SUCCESS  99
110001010    0    2    1    0    0    1    0    3 11.911137 0.155213 SUCCESS 100
110010000    1    0    0    2    0    2    0    0 13.480029 0.096366 SUCCESS 101
110010010    1    2    0    2    0    1    1    1  8.584688 0.378532 SUCCESS 102
110010100    0    3    0    2    0    1    2    1  9.494911 0.302279 SUCCESS 103
110011000    0    0    1    0    1    0    0    0 16.680701 0.033611 SUCCESS 104
110011010    1    1    2    2    5    3    2    2  4.976899 0.760042 SUCCESS 105
110100000    0    0    1    0    0    2    0    0 15.896255 0.043889 SUCCESS 106
110100010    0    2    1    0    1    0    0    0 14.264475 0.075127 SUCCESS 107
110100100    2    0    1    0    0    0    0    1 14.264475 0.075127 SUCCESS 108
110101000    0    0    1    1    0    0    0    0 16.680701 0.033611 SUCCESS 109
110101010    3    3    1    3    3    3    4    1  3.470895 0.901437 SUCCESS 110
110101100    4    1    0    2    3    0    2    2  7.267349 0.508082 SUCCESS 111
110110000    1    0    1    1    0    1    0    1 11.785361 0.161041 SUCCESS 112
110110010    3    2    1    5    0    2    4    2  7.581789 0.475349 SUCCESS 113
110110100    4    1    2    0    3    0    4    1  9.024905 0.340199 SUCCESS 114
